"DXXTATA.Code.or.Value","DXXTATA.Value.Description","DXXTATA.Count","DXXTATA.Cumulative","DXXTATA.Skip.to.Item"
"43.46 to 1229.87","Range of Values",5095,5095,NA
".","Missing",685,5780,NA
