"RFXC133.Code.or.Value","RFXC133.Value.Description","RFXC133.Count","RFXC133.Cumulative","RFXC133.Skip.to.Item"
"-7.661 to 6.591","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
