"URXMTM.Code.or.Value","URXMTM.Value.Description","URXMTM.Count","URXMTM.Cumulative","URXMTM.Skip.to.Item"
"0.0354 to 0.05","Range of Values",2494,2494,NA
".","Missing",200,2694,NA
