"URXMTO.Code.or.Value","URXMTO.Value.Description","URXMTO.Count","URXMTO.Cumulative","URXMTO.Skip.to.Item"
"0.07 to 0.65","Range of Values",2573,2573,NA
".","Missing",121,2694,NA
