"RIAGENDR.Code.or.Value","RIAGENDR.Value.Description","RIAGENDR.Count","RIAGENDR.Cumulative","RIAGENDR.Skip.to.Item"
"1","Male",4883,4883,NA
"2","Female",5082,9965,NA
".","Missing",0,9965,NA
