"DIQ060U.Code.or.Value","DIQ060U.Value.Description","DIQ060U.Count","DIQ060U.Cumulative","DIQ060U.Skip.to.Item"
"1","Months",15,15,NA
"2","Years",134,149,NA
"7","Refused",0,149,NA
"9","Don't know",0,149,NA
".","Missing",9673,9822,NA
