"DSQISFAT.Code.or.Value","DSQISFAT.Value.Description","DSQISFAT.Count","DSQISFAT.Cumulative","DSQISFAT.Skip.to.Item"
"0.05 to 6","Range of Values",284,284,NA
".","Missing",8116,8400,NA
