"LBDSTRSI.Code.or.Value","LBDSTRSI.Value.Description","LBDSTRSI.Count","LBDSTRSI.Cumulative","LBDSTRSI.Skip.to.Item"
"0.181 to 37.042","Range of Values",6373,6373,NA
".","Missing",544,6917,NA
