"SDJ1REPN.Code.or.Value","SDJ1REPN.Value.Description","SDJ1REPN.Count","SDJ1REPN.Cumulative","SDJ1REPN.Skip.to.Item"
"1 to 52","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
