"DRXIVB1.Code.or.Value","DRXIVB1.Value.Description","DRXIVB1.Count","DRXIVB1.Cumulative","DRXIVB1.Skip.to.Item"
"0 to 10.64","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
