"MCQ120C.Code.or.Value","MCQ120C.Value.Description","MCQ120C.Count","MCQ120C.Cumulative","MCQ120C.Skip.to.Item"
"1","Yes",831,831,NA
"2","No",3299,4130,NA
"7","Refused",0,4130,NA
"9","Don't know",2,4132,NA
".","Missing",6338,10470,NA
