"DS1ILZ.Code.or.Value","DS1ILZ.Value.Description","DS1ILZ.Count","DS1ILZ.Cumulative","DS1ILZ.Skip.to.Item"
"100 to 83200","Range of Values",465,465,NA
".","Missing",5493,5958,NA
