"LBXDFS.Code.or.Value","LBXDFS.Value.Description","LBXDFS.Count","LBXDFS.Cumulative","LBXDFS.Skip.to.Item"
"0.11 to 4.9","Range of Values",1203,1203,NA
".","Missing",127,1330,NA
