"OHD21LAM.Code.or.Value","OHD21LAM.Value.Description","OHD21LAM.Count","OHD21LAM.Cumulative","OHD21LAM.Skip.to.Item"
"0 to 10","Range of Values",1559,1559,NA
"99","Calculation cannot be determined",260,1819,NA
".","Missing",4939,6758,NA
