"CBD120.Code.or.Value","CBD120.Value.Description","CBD120.Count","CBD120.Cumulative","CBD120.Skip.to.Item"
"0 to 3000","Range of Values",9742,9742,NA
"777777","Refused",9,9751,NA
"999999","Don't know",275,10026,NA
".","Missing",123,10149,NA
