"DR2ICRYP.Code.or.Value","DR2ICRYP.Value.Description","DR2ICRYP.Count","DR2ICRYP.Cumulative","DR2ICRYP.Skip.to.Item"
"0 to 7091","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
