"ECQ150.Code.or.Value","ECQ150.Value.Description","ECQ150.Count","ECQ150.Cumulative","ECQ150.Skip.to.Item"
"1","Yes",260,260,NA
"2","No",63,323,NA
"7","Refused",0,323,NA
"9","Don't know",0,323,NA
".","Missing",3321,3644,NA
