"OSQ120j.Code.or.Value","OSQ120j.Value.Description","OSQ120j.Count","OSQ120j.Cumulative","OSQ120j.Skip.to.Item"
"1","Yes",1,1,""
"2","No",2,3,"OSQ060"
"7","Refused",0,3,"OSQ060"
"9","Don't know",0,3,"OSQ060"
".","Missing",6215,6218,""
