"AUXLR140.Code.or.Value","AUXLR140.Value.Description","AUXLR140.Count","AUXLR140.Cumulative","AUXLR140.Skip.to.Item"
"-72 to 70","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
