"LBD118LC.Code.or.Value","LBD118LC.Value.Description","LBD118LC.Count","LBD118LC.Cumulative","LBD118LC.Skip.to.Item"
"0","detectable result",1246,1246,NA
"1","below detectable limit",1061,2307,NA
".","Missing",240,2547,NA
