"OCQ160.Code.or.Value","OCQ160.Value.Description","OCQ160.Count","OCQ160.Cumulative","OCQ160.Skip.to.Item"
"1","Yes",41,41,"OCQ180"
"2","No",216,257,"OCQ170"
"7","Refused",4,261,"OCQ390G"
"9","Don't know",1,262,"OCQ390G"
".","Missing",7033,7295,""
