"AUDTYR39.Code.or.Value","AUDTYR39.Value.Description","AUDTYR39.Count","AUDTYR39.Cumulative","AUDTYR39.Skip.to.Item"
"0 to 4.16","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
