"DSQITFAT.Code.or.Value","DSQITFAT.Value.Description","DSQITFAT.Count","DSQITFAT.Cumulative","DSQITFAT.Skip.to.Item"
"0.25 to 15","Range of Values",749,749,NA
".","Missing",7520,8269,NA
