"DCQ240.Code.or.Value","DCQ240.Value.Description","DCQ240.Count","DCQ240.Cumulative","DCQ240.Skip.to.Item"
"1","Yes",697,697,NA
"2","No",101,798,NA
".","Missing",287,1085,NA
