"ORXH18.Code.or.Value","ORXH18.Value.Description","ORXH18.Count","ORXH18.Cumulative","ORXH18.Skip.to.Item"
"1","Positive",8,8,NA
"2","Negative",4716,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
