"AUXTPVR.Code.or.Value","AUXTPVR.Value.Description","AUXTPVR.Count","AUXTPVR.Cumulative","AUXTPVR.Skip.to.Item"
"0.252 to 6.582","Range of Values",4241,4241,NA
"777","Refused",0,4241,NA
"888","Could not obtain",0,4241,NA
".","Missing",341,4582,NA
