"WBXP032.Code.or.Value","WBXP032.Value.Description","WBXP032.Count","WBXP032.Cumulative","WBXP032.Skip.to.Item"
"-63.6693 to 166.4263","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
