"SMD415A.Code.or.Value","SMD415A.Value.Description","SMD415A.Count","SMD415A.Cumulative","SMD415A.Skip.to.Item"
"1 to 2","Range of Values",1925,1925,NA
"3","3 or More",185,2110,NA
".","Missing",8929,11039,NA
