"DR2IFIBE.Code.or.Value","DR2IFIBE.Value.Description","DR2IFIBE.Count","DR2IFIBE.Cumulative","DR2IFIBE.Skip.to.Item"
"0 to 89.1","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
