"URXDCZ.Code.or.Value","URXDCZ.Value.Description","URXDCZ.Count","URXDCZ.Cumulative","URXDCZ.Skip.to.Item"
"0.3536 to 16","Range of Values",2588,2588,NA
".","Missing",106,2694,NA
