"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.017 to 5.72","Range of Values",2718,2718,NA
".","Missing",576,3294,NA
