"DR2TM201.Code.or.Value","DR2TM201.Value.Description","DR2TM201.Count","DR2TM201.Cumulative","DR2TM201.Skip.to.Item"
"0 to 5.397","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
