"SSCTEIOD.Code.or.Value","SSCTEIOD.Value.Description","SSCTEIOD.Count","SSCTEIOD.Cumulative","SSCTEIOD.Skip.to.Item"
"-1.037151703 to 9.7881619938","Range of Values",807,807,NA
".","Missing",0,807,NA
