"SSDP6_N.Code.or.Value","SSDP6_N.Value.Description","SSDP6_N.Count","SSDP6_N.Cumulative","SSDP6_N.Skip.to.Item"
"3.35 to 104","Range of Values",1763,1763,NA
".","Missing",15,1778,NA
