"HUD070.Code.or.Value","HUD070.Value.Description","HUD070.Count","HUD070.Cumulative","HUD070.Skip.to.Item"
"1","Yes",1071,1071,""
"2","No",9967,11038,"HUQ081"
"7","Refused",0,11038,"HUQ081"
"9","Don't know",1,11039,"HUQ081"
".","Missing",0,11039,""
