"WBXP054.Code.or.Value","WBXP054.Value.Description","WBXP054.Count","WBXP054.Cumulative","WBXP054.Skip.to.Item"
"-97.1368 to 150.2616","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
