"DSQICHOL.Code.or.Value","DSQICHOL.Value.Description","DSQICHOL.Count","DSQICHOL.Cumulative","DSQICHOL.Skip.to.Item"
"0.5 to 110","Range of Values",325,325,NA
".","Missing",8075,8400,NA
