"URXMIB.Code.or.Value","URXMIB.Value.Description","URXMIB.Count","URXMIB.Cumulative","URXMIB.Skip.to.Item"
"0.21 to 14537","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
