"DR1TSODI.Code.or.Value","DR1TSODI.Value.Description","DR1TSODI.Count","DR1TSODI.Cumulative","DR1TSODI.Skip.to.Item"
"7 to 20183","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
