"DBD060.Code.or.Value","DBD060.Value.Description","DBD060.Count","DBD060.Cumulative","DBD060.Skip.to.Item"
"1 to 1460","Range of Values",1614,1614,""
"0","Never on a daily basis",464,2078,"DBD080"
"777777","Refused",0,2078,""
"999999","Don't know",14,2092,""
".","Missing",8256,10348,""
