"DSQIVB6.Code.or.Value","DSQIVB6.Value.Description","DSQIVB6.Count","DSQIVB6.Cumulative","DSQIVB6.Skip.to.Item"
"0.02 to 500","Range of Values",2702,2702,NA
".","Missing",5567,8269,NA
