"SMD057.Code.or.Value","SMD057.Value.Description","SMD057.Count","SMD057.Cumulative","SMD057.Skip.to.Item"
"2 to 90","Range of Values",1240,1240,NA
"1","1 cigarette or less",92,1332,NA
"95","95 cigarettes or more",1,1333,NA
"777","Refused",0,1333,NA
"999","Don't know",5,1338,NA
".","Missing",5386,6724,NA
