"URDCMHLC.Code.or.Value","URDCMHLC.Value.Description","URDCMHLC.Count","URDCMHLC.Cumulative","URDCMHLC.Skip.to.Item"
"0","detectable result",117,117,NA
"1","below detectable limit",2858,2975,NA
".","Missing",177,3152,NA
