"DXXLRBMD.Code.or.Value","DXXLRBMD.Value.Description","DXXLRBMD.Count","DXXLRBMD.Cumulative","DXXLRBMD.Skip.to.Item"
"0.359 to 1.134","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
