"AUXU4KL.Code.or.Value","AUXU4KL.Value.Description","AUXU4KL.Count","AUXU4KL.Cumulative","AUXU4KL.Skip.to.Item"
"-10 to 115","Range of Values",1675,1675,NA
"666","No response",2,1677,NA
"888","Could not obtain",0,1677,NA
".","Missing",130,1807,NA
