"WBXP086.Code.or.Value","WBXP086.Value.Description","WBXP086.Count","WBXP086.Cumulative","WBXP086.Skip.to.Item"
"-174.4963 to 173.2027","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
