"DX2STLI.Code.or.Value","DX2STLI.Value.Description","DX2STLI.Count","DX2STLI.Cumulative","DX2STLI.Skip.to.Item"
"24806.4 to 84136.2","Range of Values",414,414,NA
".","Missing",71,485,NA
