"MCQ260GG.Code.or.Value","MCQ260GG.Value.Description","MCQ260GG.Count","MCQ260GG.Cumulative","MCQ260GG.Skip.to.Item"
"7","Brother",104,104,NA
".","Missing",9389,9493,NA
