"LBCOXY.Code.or.Value","LBCOXY.Value.Description","LBCOXY.Count","LBCOXY.Cumulative","LBCOXY.Skip.to.Item"
"3.536 to 305.6","Range of Values",251,251,NA
".","Missing",0,251,NA
