"DSQIMFAT.Code.or.Value","DSQIMFAT.Value.Description","DSQIMFAT.Count","DSQIMFAT.Cumulative","DSQIMFAT.Skip.to.Item"
"0.025 to 3","Range of Values",104,104,NA
".","Missing",9455,9559,NA
