"OHD30LAM.Code.or.Value","OHD30LAM.Value.Description","OHD30LAM.Count","OHD30LAM.Cumulative","OHD30LAM.Skip.to.Item"
"0 to 9","Range of Values",1247,1247,NA
"99","Calculation cannot be determined",539,1786,NA
".","Missing",4972,6758,NA
