"LBXF06LA.Code.or.Value","LBXF06LA.Value.Description","LBXF06LA.Count","LBXF06LA.Cumulative","LBXF06LA.Skip.to.Item"
"1 to 38.5","Range of Values",1875,1875,NA
".","Missing",399,2274,NA
