"DXDRLTOT.Code.or.Value","DXDRLTOT.Value.Description","DXDRLTOT.Count","DXDRLTOT.Cumulative","DXDRLTOT.Skip.to.Item"
"3358.7 to 40056.9","Range of Values",3942,3942,NA
".","Missing",1172,5114,NA
