"DRD330GW.Code.or.Value","DRD330GW.Value.Description","DRD330GW.Count","DRD330GW.Cumulative","DRD330GW.Skip.to.Item"
"0 to 9440","Range of Values",7408,7408,NA
".","Missing",1874,9282,NA
