"AUDTYL48.Code.or.Value","AUDTYL48.Value.Description","AUDTYL48.Count","AUDTYL48.Cumulative","AUDTYL48.Skip.to.Item"
"0 to 3.81","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
