"TYXP093.Code.or.Value","TYXP093.Value.Description","TYXP093.Count","TYXP093.Cumulative","TYXP093.Skip.to.Item"
"-264 to 94","Range of Values",8465,8465,NA
".","Missing",4,8469,NA
