"LB2SATSI.Code.or.Value","LB2SATSI.Value.Description","LB2SATSI.Count","LB2SATSI.Cumulative","LB2SATSI.Skip.to.Item"
"6 to 232","Range of Values",544,544,NA
".","Missing",2,546,NA
