"WBXA032.Code.or.Value","WBXA032.Value.Description","WBXA032.Count","WBXA032.Cumulative","WBXA032.Skip.to.Item"
"-6.2277 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
