"WTSBMEL.Code.or.Value","WTSBMEL.Value.Description","WTSBMEL.Count","WTSBMEL.Cumulative","WTSBMEL.Skip.to.Item"
"46314.077999 to 2597028.8803","Range of Values",484,484,NA
".","Missing",0,484,NA
