"WBXA013.Code.or.Value","WBXA013.Value.Description","WBXA013.Count","WBXA013.Cumulative","WBXA013.Skip.to.Item"
"-3.011 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
