"WHQ040.Code.or.Value","WHQ040.Value.Description","WHQ040.Count","WHQ040.Cumulative","WHQ040.Skip.to.Item"
"1","More,",561,561,""
"2","Less, or",3481,4042,""
"3","Stay about the same?",2121,6163,"WHD050"
"7","Refused",3,6166,"WHD050"
"9","Don't know",8,6174,"WHD050"
".","Missing",1,6175,""
