"FSQ440.Code.or.Value","FSQ440.Value.Description","FSQ440.Count","FSQ440.Cumulative","FSQ440.Skip.to.Item"
"1","Yes",62,62,NA
"2","No",1119,1181,NA
"7","Refused",1,1182,NA
"9","Don't know",24,1206,NA
".","Missing",8916,10122,NA
