"LBXIM6.Code.or.Value","LBXIM6.Value.Description","LBXIM6.Count","LBXIM6.Cumulative","LBXIM6.Skip.to.Item"
"0.25 to 179","Range of Values",8288,8288,NA
".","Missing",1152,9440,NA
