"BMXSUB.Code.or.Value","BMXSUB.Value.Description","BMXSUB.Count","BMXSUB.Cumulative","BMXSUB.Skip.to.Item"
"3 to 41.9","Range of Values",8065,8065,NA
".","Missing",1578,9643,NA
